platform,username,comment_text,timestamp,likes,post_id,post_subject,post_url,post_caption,comment_id,primary_emotion,sentiment_score,secondary_emotions,is_sarcastic,weighted_sentiment,comment_likes,mentioned_entities
instagram,lavender.scholar.79,💐 You earned it.  You chose Blake,1970-01-01 00:00:01.763668467,4255,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",deba476bb378b847,love,0.6,[],False,5.613651018612888,4255,"{'people': ['Blake'], 'shows': [], 'explicit_people': ['Blake'], 'implicit_people': [], 'explicit_shows': [], 'implicit_shows': []}"
instagram,cass_andra_renee,Blake lively was the worst choice for lily anyways. I LOVED those books. I was so excited for the movie. Blake ruined it entirely. I liked Justin tho,1970-01-01 00:00:01.763668571,4890,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",886e9248f275de78,disappointment,-0.6,[],False,-5.697091236323614,4890,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': ['Blake', 'Justin', 'Blake Lively'], 'implicit_people': ['Colleen', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,nisabel_b,"I still can't help but wonder what this movie would have been like if Justin had directed it solo, his previous works show how good he is at giving life to such delicate stories",1970-01-01 00:00:01.763669398,2131,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",9e4dd12da77d6ef7,neutral,0.0,[],False,0.0,2131,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': ['Justin'], 'implicit_people': ['Blake', 'Colleen', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,zimply_jojo,Her lack of loyalty is the only thing that she should regret .  Justin was the one that push for the movie to be make and ultimately the one that make people more interested in the book but she turned her  back on him.,1970-01-01 00:00:01.763669792,1078,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",cbad8726446e9477,anger,-0.7,[],False,-5.588652975680694,1078,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': ['Justin'], 'implicit_people': ['Blake', 'Colleen', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,hlr1004,She helped create few mess.  Hope she realizes that.,1970-01-01 00:00:01.763669454,637,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",9827e4b654c802fe,disappointment,-0.5,[],False,-3.729169141672395,637,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': [], 'implicit_people': ['Blake', 'Justin', 'Colleen', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,jerzgirl93,The book was great. The movie was okay. Totally left out parts or changed them. Still one of my favorite books by her.,1970-01-01 00:00:01.763668892,163,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",0d98f546915b9180,neutral,0.0,[],False,0.0,163,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': [], 'implicit_people': ['Blake', 'Justin', 'Colleen', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,classyladyalways,The only thing shameful is her supporting Blake in this. Hopefully Blake’s career is done.,1970-01-01 00:00:01.763668575,1200,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",132b46e0f183398e,anger,-0.8,[],False,-6.472727857663987,1200,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': ['Blake'], 'implicit_people': ['Justin', 'Colleen', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,labyrinth_1881,"Don't worry Colleen, I never recommend any of your books either",1970-01-01 00:00:01.763696071,2685,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",2f8b473933873303,anger,-0.7,[],False,-6.227065863958228,2685,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': ['Colleen'], 'implicit_people': ['Blake', 'Justin', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,kulstof_14,If the writer just chose some less known actors the message would have been conveyed much better. And the movie might have actually been a success.,1970-01-01 00:00:01.763675558,154,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",cbc9d1b9fb945001,disappointment,-0.6,[],False,-3.6260550701515477,154,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': [], 'implicit_people': ['Blake', 'Justin', 'Colleen', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
instagram,kaleshiiiaurat,"Lmao forgetting the lawsuit, the she herself is problematic along with the books she writes. Blaming it all on actors is wild",1970-01-01 00:00:01.763691473,174,d41d8cd98f00,Dataset Instagram-Comments-Scraper 2025-11-23 05-16-50-355,https://www.instagram.com/p/DRSmMhODnJ2,"Colleen Hoover says the legal battle between Justin Baldoni and Blake Lively has tainted how she feels about her novel, 'It Ends With Us.' ""I can't even recommend it anymore. I feel like [the lawsuit] has overshadowed it,"" the author tells ELLE magazine. ""I'm almost embarrassed to say I wrote it."" ""When people ask what I do, I'm just like, 'I'm a writer. Please don't ask me what I wrote.'"" Colleen will be deposed for the case in a few weeks and says that Blake and Justin's ongoing conflict ""feels like a circus"" and is ""all-around sad."" ""This actually truly has impacted some of the actors' careers in huge ways... I'm just trying to stay removed from the negativity. I have my own story I could tell … but I don't want to bring attention to it, and I don't want to have to put someone else down to lift myself up.""",fff560e668e34412,anger,-0.5,[],True,-3.0823929869617572,174,"{'people': ['Colleen Hoover', 'Justin', 'Colleen', 'Justin Baldoni', 'Blake Lively', 'Blake'], 'shows': [], 'explicit_people': [], 'implicit_people': ['Blake', 'Justin', 'Colleen', 'Blake Lively', 'Colleen Hoover', 'Justin Baldoni'], 'explicit_shows': [], 'implicit_shows': []}"
